layer_0,layer_1,layer_2,file_name
4,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_64088.csv
4,6,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_64464.csv
6,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_64505.csv
6,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_65354.csv
5,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_65734.csv
5,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_66625.csv
5,6,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_66724.csv
5,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_67516.csv
3,6,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_67635.csv
5,1,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_68938.csv
6,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_69735.csv
5,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_69751.csv
7,3,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_69777.csv
5,4,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_71819.csv
8,3,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_73115.csv
5,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_73439.csv
6,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_73955.csv
5,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_74171.csv
3,4,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_74449.csv
5,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_74533.csv
5,5,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_78688.csv
6,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_78898.csv
4,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_81054.csv
4,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_81190.csv
6,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_81478.csv
4,4,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_83134.csv
5,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_83880.csv
7,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_85117.csv
4,4,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_85305.csv
4,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_85344.csv
6,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_85405.csv
5,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_86108.csv
6,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_87497.csv
5,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_88817.csv
4,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_88845.csv
5,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_92606.csv
5,1,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_92910.csv
4,6,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_92987.csv
6,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_95186.csv
3,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_97513.csv
