h_dim,train_loss,test_loss,train_accuracy,test_accuracy
200,0.008895255863539446,0.04339171974522293,99.11,95.64
900,0.007962420042643923,0.04130175159235669,99.20333333333333,95.85
600,0.007479344349680171,0.04169984076433121,99.25166666666667,95.81
1100,0.009661513859275054,0.046078821656050956,99.03333333333333,95.37
