h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.1809088361915201,0.5108781143738206,95.475,86.47
15,0.015155696470174007,0.37079355847679973,99.95,91.49
30,0.006831483369751368,0.3148618045868797,99.975,92.67
45,0.0026827771653188393,0.3261006204744135,100.0,93.17
