h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.25897335121408105,0.5063927398792877,95.125,86.16
15,0.12469014944508672,0.3703027230325588,99.675,90.71
30,0.11001900024712086,0.2775857244254161,100.0,92.52
45,0.08540743705816567,0.26249682521232504,100.0,92.5
