h_dim,train_loss,test_loss,train_accuracy,test_accuracy
200,0.027471190714277328,10.676382757749748,98.92,92.42
900,0.00552212328184396,4.50940357752524,99.78,93.72
600,0.012366773141548038,3.6470325233547327,99.52,93.31
1100,0.0262599992798628,13.23595109411106,99.18,92.85
