h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.24133795309168443,0.25696656050955413,75.86833333333334,74.3
15,0.12453358208955224,0.15545382165605096,87.54833333333333,84.47
30,0.09721481876332623,0.14201831210191082,90.27833333333334,85.79
45,0.07509328358208955,0.1364450636942675,92.48833333333333,86.38
50,0.07227811833688699,0.1308718152866242,92.77166666666666,86.88
70,0.058318896588486144,0.13007563694267515,94.165,86.96
100,0.04367670575692964,0.12430334394904459,95.635,87.51
