h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.3716405010337283,0.5352970128226432,86.415,82.17
15,0.23096537086994026,0.4820442885919741,91.485,85.27
30,0.17993192108953074,0.4478283203711176,93.415,86.48
45,0.16693398660155617,0.45502287054517465,93.87,86.69
50,0.14238319232775148,0.47211895503435924,94.69,86.81
70,0.1414411855731041,0.4633513578468827,94.8,87.15
100,0.1381012226935405,0.4756421642793212,94.775,87.18
