h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.17777185501066098,0.1988455414012739,82.21833333333333,80.11
15,0.21896655117270789,0.2490047770700637,78.10333333333334,75.07
30,0.10324493603411514,0.1467953821656051,89.67666666666666,85.34
45,0.09803105010660981,0.1507762738853503,90.19666666666667,84.94
50,0.11570495735607676,0.16391321656050956,88.42833333333333,83.56
70,0.11423907249466951,0.1692874203821656,88.575,83.05
100,0.0751932302771855,0.1376393312101911,92.47833333333334,86.23
