h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.14250732942430705,0.1689888535031847,85.74833333333333,83.05
15,0.09554904051172708,0.14072452229299362,90.445,85.95
30,0.06931303304904052,0.1291799363057325,93.06666666666666,87.08
45,0.05768590085287847,0.12291003184713375,94.23166666666667,87.71
50,0.05415445095948827,0.12460191082802548,94.58333333333333,87.54
70,0.05222214818763326,0.11962579617834394,94.78,88.01
100,0.05262193496801706,0.11614251592356688,94.73833333333333,88.33
