layer_0,layer_1,file_name
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_68308.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_68675.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_69948.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_70740.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_72025.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_72512.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_73146.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_75158.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_76487.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_78132.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_78842.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_78954.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_80683.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_81754.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_81834.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_81991.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_85219.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_85848.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_86747.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_87021.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_88823.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_89032.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_89793.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_89967.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_90439.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_90852.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_91325.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_91422.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_92789.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_93176.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_93574.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_93729.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_95476.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_96059.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_97230.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_97452.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_97646.csv
0,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122029_99633.csv
