h_dim,train_loss,test_loss,train_accuracy,test_accuracy
50,0.09508506464771926,0.21931720927956805,100.0,93.51
70,0.13344603776931763,0.24359365358150115,100.0,93.84
100,0.12504842062480748,0.19789347916197886,100.0,94.41
